step,tr_loss,tr_acc,val_loss,val_acc
20,2.085721,0.1750,2.021401,0.2843
40,2.032992,0.2175,1.943062,0.2695
60,1.986224,0.2358,1.919452,0.3063
80,1.973158,0.2431,1.905303,0.3450
100,1.964813,0.2595,1.890482,0.3698
120,1.952059,0.2762,1.877821,0.3395
140,1.938996,0.2829,1.867308,0.2797
160,1.927539,0.2828,1.858411,0.2925
180,1.919692,0.2861,1.850847,0.3947
200,1.909599,0.2960,1.840797,0.3919
220,1.897947,0.3075,1.831018,0.3606
240,1.884317,0.3127,1.822159,0.3146
260,1.876848,0.3137,1.812073,0.3027
280,1.872660,0.3145,1.798584,0.4039
300,1.870039,0.3180,1.790667,0.4250
320,1.863811,0.3252,1.781602,0.3689
340,1.856752,0.3274,1.770378,0.3753
360,1.851546,0.3307,1.761836,0.4085
380,1.850506,0.3317,1.753033,0.4241
400,1.844660,0.3372,1.747440,0.4223
420,1.836655,0.3433,1.741891,0.4186
440,1.832392,0.3456,1.730729,0.4388
460,1.827423,0.3499,1.725222,0.4177
480,1.822690,0.3516,1.716608,0.4315
500,1.743277,0.4100,1.711604,0.4305
520,1.700130,0.4217,1.702905,0.4149
540,1.693779,0.4210,1.694335,0.4177
560,1.689135,0.4193,1.686202,0.4517
580,1.684875,0.4228,1.677939,0.4545
600,1.673831,0.4314,1.671711,0.4545
620,1.667536,0.4315,1.664041,0.4545
640,1.667948,0.4317,1.656784,0.4646
660,1.656729,0.4418,1.649251,0.4848
680,1.656716,0.4429,1.640707,0.4857
700,1.646654,0.4493,1.634437,0.4867
720,1.645256,0.4496,1.628159,0.4848
740,1.643561,0.4536,1.621135,0.5041
760,1.635034,0.4626,1.619743,0.4977
780,1.635131,0.4640,1.610938,0.5060
800,1.636836,0.4644,1.604123,0.5041
820,1.631659,0.4662,1.601027,0.4876
840,1.630477,0.4684,1.592482,0.5041
860,1.625718,0.4716,1.584000,0.5087
880,1.626727,0.4727,1.578469,0.5198
900,1.624282,0.4746,1.571824,0.5207
920,1.620076,0.4778,1.565967,0.5363
940,1.615711,0.4806,1.559934,0.5078
960,1.610649,0.4818,1.556495,0.5143
980,1.604574,0.4852,1.550557,0.5051
1000,1.560426,0.4950,1.542901,0.5143
1020,1.519181,0.5225,1.536012,0.5152
1040,1.514996,0.5183,1.531288,0.5235
1060,1.501590,0.5231,1.526605,0.5382
1080,1.499415,0.5340,1.523187,0.5731
1100,1.482720,0.5454,1.518395,0.5189
1120,1.492988,0.5389,1.513951,0.5216
1140,1.493704,0.5387,1.509509,0.5308
1160,1.488965,0.5408,1.504203,0.5299
1180,1.489474,0.5417,1.500086,0.5474
1200,1.483238,0.5459,1.496864,0.5400
1220,1.479916,0.5475,1.490272,0.5437
1240,1.479287,0.5496,1.483214,0.5483
1260,1.479638,0.5475,1.478470,0.5400
1280,1.479306,0.5468,1.475909,0.5695
1300,1.476761,0.5505,1.470250,0.5529
1320,1.480199,0.5496,1.465777,0.5731
1340,1.475118,0.5525,1.460759,0.5603
1360,1.472449,0.5526,1.456725,0.5584
1380,1.469746,0.5537,1.452741,0.5593
1400,1.464417,0.5563,1.448846,0.5557
1420,1.462868,0.5574,1.445714,0.5649
1440,1.463099,0.5574,1.441549,0.5722
1460,1.459044,0.5594,1.438146,0.5547
1480,1.343164,0.5850,1.433222,0.5630
1500,1.354387,0.5833,1.430569,0.5621
1520,1.382791,0.5800,1.426992,0.5630
1540,1.385463,0.5864,1.420932,0.5961
1560,1.387560,0.5889,1.417716,0.5998
1580,1.382225,0.5945,1.415416,0.5869
1600,1.374650,0.5988,1.410572,0.5695
1620,1.384837,0.5947,1.409316,0.5952
1640,1.391059,0.5941,1.403765,0.5998
1660,1.381607,0.5989,1.399616,0.6044
1680,1.383773,0.5990,1.397688,0.6007
1700,1.387017,0.6004,1.392898,0.6044
1720,1.378567,0.6064,1.389960,0.6164
1740,1.375119,0.6083,1.388115,0.5952
1760,1.372428,0.6086,1.386279,0.5989
1780,1.370162,0.6097,1.383805,0.6329
1800,1.370250,0.6123,1.377254,0.6302
1820,1.365185,0.6167,1.372832,0.6118
1840,1.367745,0.6147,1.369454,0.6063
1860,1.367603,0.6155,1.367399,0.5980
1880,1.368481,0.6140,1.365232,0.5998
1900,1.364792,0.6157,1.361107,0.6081
1920,1.361600,0.6169,1.358485,0.6191
1940,1.358292,0.6196,1.355968,0.6329
1960,1.356390,0.6202,1.355618,0.6007
1980,1.324647,0.6100,1.356969,0.5980
2000,1.341563,0.6038,1.349233,0.6247
2020,1.330075,0.6192,1.346170,0.6283
2040,1.321409,0.6306,1.346370,0.6283
2060,1.335130,0.6235,1.342735,0.6421
2080,1.342591,0.6229,1.336792,0.6293
2100,1.318175,0.6343,1.334306,0.6164
2120,1.309547,0.6384,1.333157,0.6136
2140,1.309608,0.6378,1.329777,0.6293
2160,1.306324,0.6395,1.326541,0.6366
2180,1.307410,0.6382,1.324549,0.6247
2200,1.306050,0.6381,1.326169,0.6348
2220,1.305914,0.6394,1.320287,0.6431
2240,1.303832,0.6418,1.317093,0.6467
2260,1.300767,0.6442,1.314849,0.6477
2280,1.293458,0.6481,1.314435,0.6412
2300,1.294073,0.6468,1.313306,0.6265
2320,1.293282,0.6450,1.312479,0.6357
2340,1.285976,0.6483,1.309488,0.6145
2360,1.284446,0.6482,1.308956,0.6044
2380,1.283670,0.6479,1.301579,0.6513
2400,1.280528,0.6503,1.298730,0.6532
2420,1.280470,0.6504,1.297115,0.6477
2440,1.280732,0.6501,1.298399,0.6467
2460,1.401775,0.6050,1.295577,0.6559
2480,1.277608,0.6633,1.293115,0.6348
2500,1.223155,0.6700,1.291437,0.6412
2520,1.191231,0.6786,1.291768,0.6504
2540,1.183440,0.6828,1.290573,0.6477
