step,tr_loss,tr_acc,val_loss,val_acc,time
20,118.382248,0.1975,131.590393,0.2594,1.40
40,119.295753,0.2275,122.991753,0.2079,1.32
60,110.140846,0.1850,103.920151,0.2107,1.04
80,86.036217,0.2625,87.711983,0.2337,1.30
100,77.713669,0.3075,75.167648,0.3487,1.15
120,57.386253,0.3700,69.105537,0.3680,1.28
140,53.294777,0.4025,62.417923,0.4158,1.93
160,55.475842,0.4300,54.960308,0.4342,0.96
180,51.729969,0.4525,51.467602,0.4609,1.08
200,49.389561,0.4700,47.953972,0.5161,1.82
220,45.262600,0.4875,49.322254,0.5005,1.72
240,36.800026,0.4950,50.482452,0.5317,2.54
260,52.665943,0.5275,40.355743,0.5400,1.28
280,34.549370,0.5300,40.512348,0.5501,1.21
300,39.839844,0.5700,40.472923,0.5529,1.41
320,35.226994,0.5725,37.473789,0.5529,1.26
340,36.810551,0.5450,36.947166,0.5704,1.15
360,36.331932,0.6025,33.537579,0.5842,1.75
380,27.579967,0.5975,36.358196,0.5833,1.57
400,32.396248,0.5825,31.085752,0.6072,1.03
420,33.042629,0.5675,33.605598,0.5980,1.56
440,30.358845,0.6150,30.117826,0.6228,1.41
460,30.155085,0.6300,25.367147,0.6550,1.80
480,24.298754,0.6800,25.655350,0.6559,1.67
500,23.178375,0.7000,24.789398,0.6817,1.16
520,20.120583,0.6800,24.528513,0.6615,1.05
540,27.208487,0.6650,25.417534,0.6403,1.52
560,16.438103,0.7150,24.344505,0.6826,1.88
580,21.455126,0.6725,23.792715,0.6697,1.66
600,23.608706,0.6875,23.981136,0.6845,1.18
620,19.781710,0.7075,29.848576,0.6826,1.46
640,16.335125,0.7750,22.826284,0.6872,1.03
660,17.487385,0.7100,21.787737,0.7222,1.50
680,17.318325,0.7375,20.684248,0.7222,1.08
700,15.207959,0.7450,20.338621,0.7249,1.24
720,16.112846,0.7550,20.563383,0.7148,1.21
740,18.177021,0.7200,20.975641,0.7130,1.11
760,13.335480,0.7725,19.142168,0.7323,1.19
780,15.545629,0.7325,16.637081,0.7443,1.10
800,13.886273,0.7450,18.487991,0.7093,1.96
820,12.368721,0.7550,16.756304,0.7378,1.43
840,14.287671,0.7550,15.665488,0.7433,1.56
860,12.839621,0.7650,15.341589,0.7433,1.10
880,14.552371,0.7650,14.589555,0.7875,1.36
900,12.751699,0.7750,16.193502,0.7599,1.97
920,13.627119,0.7550,12.762732,0.7902,1.56
940,9.790270,0.8200,12.406476,0.7728,1.09
960,8.186629,0.8375,12.331434,0.7728,1.10
980,11.072116,0.8150,12.722250,0.7902,1.33
1000,12.743792,0.7975,12.479188,0.7967,1.32
1020,8.755175,0.8325,13.027611,0.7783,1.16
