step,tr_loss,tr_acc,val_loss,val_acc,time
20,2.162996,0.1700,2.088022,0.2705,1.07
40,2.024108,0.2650,1.912777,0.2705,1.00
60,1.947224,0.2500,1.882412,0.2705,0.99
80,1.869772,0.2900,1.843279,0.2282,0.95
100,1.709246,0.3100,1.756049,0.2282,0.96
120,1.723467,0.2150,1.670409,0.2309,0.95
140,1.569324,0.4300,1.600034,0.4002,0.95
160,1.529463,0.4200,1.544599,0.3983,0.95
180,1.599305,0.4000,1.510275,0.4278,0.96
200,1.408176,0.4350,1.469372,0.4379,0.96
220,1.353696,0.4800,1.421959,0.5511,0.96
240,1.454950,0.5050,1.359572,0.5373,0.95
260,1.424296,0.4650,1.323217,0.5805,0.96
280,1.269874,0.6000,1.286683,0.5437,0.96
300,1.158917,0.6500,1.276029,0.5299,0.95
320,1.237083,0.5600,1.256549,0.5391,0.96
340,1.219627,0.5450,1.228971,0.5511,0.95
360,1.278366,0.5200,1.218711,0.5317,0.96
380,1.079741,0.6100,1.196344,0.5741,0.95
400,1.210926,0.5650,1.168968,0.5428,0.95
420,1.075497,0.6150,1.170795,0.5649,0.96
440,1.090462,0.5900,1.151306,0.5833,0.96
460,1.180765,0.5750,1.167797,0.5768,0.96
480,1.150012,0.5750,1.109545,0.5961,0.96
500,1.059415,0.6050,1.098682,0.5952,0.95
520,0.956941,0.6250,1.075519,0.6035,0.95
540,0.971345,0.6600,1.120725,0.6118,0.96
560,1.101289,0.6350,1.087370,0.6274,0.96
580,1.020235,0.6150,1.049738,0.5961,0.95
600,1.069812,0.6050,1.047018,0.6633,0.96
620,0.976036,0.6650,1.061526,0.6053,0.96
640,1.067527,0.6300,1.105553,0.6274,0.97
660,1.091307,0.6050,1.031033,0.6753,0.95
680,0.951115,0.6550,1.029010,0.6293,0.97
700,0.983707,0.6850,1.057202,0.6219,0.95
720,0.822228,0.7250,0.988060,0.6817,0.95
740,1.010718,0.6200,1.008771,0.6596,0.95
760,0.881184,0.6850,0.960029,0.6633,0.95
780,1.016785,0.6200,1.009064,0.6219,0.95
800,1.021176,0.6250,0.998318,0.5998,0.95
820,0.909793,0.6750,0.961050,0.6532,0.95
840,0.888755,0.6700,1.000141,0.6265,0.95
860,0.948062,0.6750,0.936045,0.6578,0.95
880,0.940744,0.6550,0.936531,0.6845,0.96
900,0.754699,0.7250,0.955150,0.7019,0.95
920,0.997998,0.6300,0.975881,0.6293,0.96
940,0.879270,0.7000,0.950543,0.6477,0.95
960,1.013296,0.6250,0.940357,0.6780,0.96
980,0.762305,0.7050,0.905687,0.6449,0.95
1000,0.990444,0.6600,0.892660,0.6955,0.95
1020,0.818122,0.7250,0.891362,0.7019,0.95
1040,0.878104,0.7250,0.895444,0.6817,0.96
1060,0.963020,0.6700,0.924067,0.6587,0.96
1080,0.893023,0.6450,0.857627,0.7084,0.95
1100,0.672013,0.7900,0.907027,0.6780,0.96
1120,0.782626,0.7350,0.877735,0.7084,0.95
1140,0.889234,0.7000,0.848909,0.7001,0.96
1160,0.867385,0.6500,0.936210,0.6412,0.95
1180,0.857399,0.7500,0.880333,0.6817,0.95
1200,0.932389,0.7000,0.835714,0.7130,0.95
1220,0.781694,0.7300,0.835755,0.7222,0.96
1240,0.882818,0.7350,0.829136,0.7231,0.96
1260,0.852169,0.6700,0.875736,0.6532,0.96
1280,0.913238,0.6850,0.884581,0.6927,0.95
1300,0.815184,0.7000,0.863414,0.6992,0.96
1320,0.776210,0.7100,0.837017,0.6734,0.95
1340,0.741810,0.7250,0.797108,0.7332,0.98
1360,0.843819,0.6800,0.793854,0.7295,0.95
1380,0.871466,0.7150,0.788993,0.7203,0.96
1400,0.774391,0.7000,0.788804,0.7351,0.96
1420,0.719575,0.7650,0.769274,0.7231,0.95
1440,0.704464,0.7200,0.819137,0.7130,0.96
1460,0.776083,0.7450,0.776843,0.7139,0.95
1480,0.639029,0.7400,0.752241,0.7443,0.95
1500,0.760454,0.7150,0.765897,0.7277,0.95
1520,0.750278,0.7200,0.731354,0.7314,0.95
1540,0.739929,0.7150,0.739782,0.7534,0.95
1560,0.699750,0.7550,0.741103,0.7461,0.95
1580,0.718981,0.7750,0.767627,0.7360,0.95
1600,0.689207,0.7750,0.768057,0.7580,0.96
1620,0.790723,0.7150,0.751461,0.7341,0.95
1640,0.686077,0.7300,0.730821,0.7286,0.95
1660,0.653627,0.7650,0.728286,0.7470,0.95
1680,0.693486,0.7950,0.719488,0.7838,0.96
1700,0.704903,0.7200,0.704487,0.7516,0.95
1720,0.684651,0.7700,0.709165,0.7829,0.96
1740,0.579574,0.8100,0.776243,0.7525,0.98
1760,0.597607,0.8350,0.683361,0.7737,0.96
1780,0.603204,0.7850,0.686013,0.7829,0.95
1800,0.468042,0.8550,0.732060,0.7590,0.96
1820,0.647927,0.8150,0.691769,0.7764,0.95
1840,0.621215,0.8050,0.682584,0.7764,0.95
1860,0.581796,0.8350,0.684274,0.7599,0.95
1880,0.618709,0.7550,0.728908,0.7038,0.95
1900,0.782726,0.7400,0.709541,0.7369,0.95
1920,0.832800,0.7400,0.648657,0.7884,0.96
1940,0.580265,0.7950,0.668719,0.7902,0.96
1960,0.712283,0.7650,0.642288,0.7672,0.95
1980,0.552319,0.8100,0.651152,0.7792,0.96
2000,0.599283,0.8000,0.631577,0.7967,0.98
