step,tr_loss,tr_acc,val_loss,val_acc,time
20,2.162534,0.1800,2.083204,0.2705,1.07
40,2.006682,0.2650,1.864754,0.2705,1.00
60,1.898799,0.2500,1.802235,0.2705,0.99
80,1.838889,0.2550,1.724379,0.4020,0.95
100,1.668486,0.4300,1.660479,0.4885,0.95
120,1.621346,0.4450,1.567323,0.4269,0.97
140,1.475889,0.5100,1.487745,0.4848,0.96
160,1.448974,0.5150,1.406802,0.4876,0.95
180,1.468126,0.4500,1.368062,0.5041,0.95
200,1.259709,0.5850,1.271238,0.5520,0.95
220,1.167416,0.6050,1.220131,0.5428,0.95
240,1.260718,0.5000,1.206892,0.5363,0.95
260,1.276253,0.5250,1.172245,0.5511,0.95
280,1.136393,0.5950,1.172628,0.5511,0.95
300,0.995093,0.5900,1.115731,0.5566,0.95
320,1.051172,0.5750,1.108877,0.5363,0.97
340,1.084170,0.5700,1.088849,0.5713,0.95
360,1.147956,0.5500,1.050409,0.5639,0.97
380,0.937059,0.5800,1.037980,0.5566,0.95
400,1.061845,0.5650,1.014926,0.6007,0.95
420,0.980552,0.6200,1.011894,0.6099,0.95
440,0.980879,0.5900,1.009633,0.6044,0.97
460,1.084379,0.5950,0.976521,0.6210,0.95
480,0.971836,0.6300,0.962948,0.6642,0.95
500,0.890127,0.6900,0.938950,0.6375,0.95
520,0.762602,0.7200,0.931952,0.6394,0.95
540,0.830054,0.6850,0.959302,0.6228,0.96
560,0.893331,0.6700,0.927246,0.6670,0.95
580,0.881862,0.6500,0.921328,0.6403,0.95
600,0.970860,0.6400,0.935362,0.6403,0.96
620,0.786801,0.6850,0.912011,0.6615,0.96
640,0.963802,0.6100,0.918711,0.6927,0.95
660,0.936524,0.6650,0.917401,0.6651,0.95
680,0.895144,0.6750,0.900255,0.6624,0.95
700,0.921497,0.6650,0.937783,0.6477,0.95
720,0.738069,0.7350,0.880228,0.6955,0.95
740,0.827865,0.6500,0.922351,0.6348,0.95
760,0.862024,0.6550,0.866692,0.6891,0.95
780,0.869599,0.6800,0.873649,0.6661,0.95
800,0.991774,0.6600,0.872441,0.6394,0.95
820,0.824048,0.6700,0.871731,0.6513,0.95
840,0.764543,0.6900,0.879820,0.6799,0.96
860,0.967101,0.6600,0.860850,0.6633,0.95
880,0.802468,0.6750,0.905298,0.6477,0.96
900,0.778519,0.7050,0.899019,0.6486,0.95
920,0.962545,0.6000,0.877254,0.6881,0.95
940,0.877406,0.6950,0.862243,0.6596,0.95
960,0.857806,0.6700,0.853374,0.7387,0.96
980,0.763717,0.6950,0.857480,0.6946,0.95
1000,0.962791,0.6200,0.845143,0.6845,0.96
1020,0.802870,0.7350,0.840711,0.7222,0.95
1040,0.827046,0.7550,0.843911,0.7121,0.96
1060,0.889712,0.6950,0.851436,0.6743,0.96
1080,0.822780,0.6900,0.832544,0.7038,0.95
1100,0.618848,0.7750,0.839165,0.6983,0.95
1120,0.687381,0.7150,0.821246,0.6716,0.96
1140,0.776591,0.6950,0.817937,0.7415,0.96
1160,0.850058,0.6800,0.873403,0.6569,0.96
1180,0.767168,0.7350,0.819717,0.6891,0.95
1200,0.801372,0.7400,0.814466,0.7093,0.96
1220,0.726380,0.7250,0.830677,0.7571,0.96
1240,0.815470,0.7400,0.884218,0.6826,0.96
1260,0.879750,0.7300,0.813794,0.7084,0.97
1280,0.780332,0.7200,0.821599,0.7305,0.97
1300,0.789818,0.7200,0.792115,0.7369,0.95
1320,0.791459,0.7200,0.804571,0.7093,0.95
1340,0.744791,0.7450,0.782623,0.7728,0.96
1360,0.826851,0.6850,0.792628,0.7231,0.95
1380,0.803698,0.7250,0.778831,0.7029,0.95
1400,0.862485,0.7050,0.794618,0.7323,0.97
1420,0.671966,0.7300,0.796379,0.6743,0.95
1440,0.751063,0.7400,0.773529,0.7452,0.95
1460,0.797507,0.7700,0.781088,0.7378,0.96
1480,0.722941,0.7200,0.766182,0.7075,0.95
1500,0.757644,0.6900,0.828524,0.6587,0.95
1520,0.813678,0.6850,0.774180,0.7415,0.95
1540,0.723294,0.7550,0.771355,0.7139,0.95
1560,0.666056,0.7500,0.770310,0.7277,0.95
1580,0.740505,0.7550,0.780707,0.7019,0.96
1600,0.706619,0.7650,0.768729,0.7645,0.95
1620,0.730645,0.7300,0.754842,0.7479,0.96
1640,0.727348,0.7850,0.750928,0.7636,0.95
1660,0.735922,0.7600,0.789067,0.7231,0.95
1680,0.704269,0.7300,0.762384,0.7295,0.96
1700,0.786471,0.7300,0.753343,0.7498,0.96
1720,0.762357,0.7450,0.779833,0.7268,0.95
1740,0.604249,0.7650,0.751104,0.7102,0.95
1760,0.689840,0.7550,0.775711,0.7507,0.95
1780,0.743541,0.7250,0.733344,0.7672,0.96
1800,0.574927,0.7800,0.740104,0.7507,0.95
1820,0.679087,0.7400,0.753691,0.7433,0.97
1840,0.682504,0.7450,0.743850,0.7562,0.95
1860,0.671187,0.7750,0.754126,0.7489,0.97
1880,0.766366,0.7150,0.766846,0.7222,0.95
1900,0.850539,0.6900,0.737046,0.7562,0.95
1920,0.913289,0.7050,0.722001,0.7516,0.96
1940,0.605446,0.7800,0.788611,0.7461,0.97
1960,0.769120,0.7800,0.748407,0.7617,0.95
1980,0.617611,0.7850,0.723721,0.7672,0.97
2000,0.739020,0.7200,0.710970,0.7663,0.95
