step,tr_loss,tr_acc,val_loss,val_acc,time
20,2.157621,0.2100,2.046745,0.2705,0.36
40,1.924829,0.2825,1.892626,0.2705,0.39
60,1.909333,0.2550,1.839841,0.2705,0.41
80,1.846128,0.2300,1.767269,0.2282,0.44
100,1.713269,0.2625,1.717396,0.2282,0.44
120,1.709913,0.2425,1.659169,0.3514,0.42
140,1.570549,0.2825,1.613836,0.2916,0.37
160,1.558883,0.3275,1.528425,0.4296,0.38
180,1.492793,0.4225,1.415130,0.3763,0.42
200,1.382063,0.4425,1.325287,0.6228,0.51
220,1.250338,0.5025,1.311612,0.5501,0.44
240,1.348054,0.4775,1.214179,0.6127,0.36
260,1.271340,0.5475,1.191036,0.6099,0.44
280,1.287459,0.5350,1.122150,0.6191,0.43
300,1.116248,0.6225,1.086815,0.6477,0.38
320,1.113786,0.6300,1.064929,0.6753,0.38
340,0.991931,0.6725,1.023630,0.6771,0.35
360,1.131894,0.6275,1.009554,0.6688,0.42
380,0.937319,0.6775,0.977961,0.6964,0.41
400,0.960183,0.6800,0.979714,0.7019,0.42
420,0.918739,0.7275,0.925404,0.6983,0.41
440,0.837639,0.7225,0.910960,0.6734,0.52
460,0.931018,0.6725,0.892861,0.7286,0.35
480,0.862387,0.7125,0.872727,0.7259,0.44
500,0.849548,0.6975,0.859269,0.7470,0.50
520,0.817469,0.7300,0.850187,0.6992,0.44
540,0.798528,0.7275,0.841968,0.7351,0.42
560,0.735721,0.7725,0.828640,0.7406,0.37
580,0.803008,0.7200,0.829609,0.6881,0.43
600,0.751007,0.7550,0.841190,0.7461,0.36
620,0.791533,0.7150,0.803904,0.7314,0.37
640,0.758866,0.7475,0.783605,0.7663,0.38
660,0.843054,0.7125,0.796684,0.7663,0.42
680,0.790635,0.7525,0.835976,0.7553,0.44
700,0.776173,0.7500,0.761205,0.7470,0.45
720,0.624003,0.7925,0.763456,0.7737,0.38
740,0.708455,0.7650,0.752471,0.8013,0.41
760,0.747965,0.7875,0.776957,0.7645,0.44
780,0.721815,0.7925,0.774777,0.7801,0.46
800,0.816060,0.7700,0.750726,0.7866,0.38
820,0.674651,0.7975,0.721258,0.7902,0.38
840,0.634035,0.8250,0.720667,0.7608,0.43
860,0.762324,0.7400,0.781424,0.7194,0.38
880,0.683586,0.7875,0.745204,0.7893,0.41
900,0.637232,0.8075,0.740774,0.7994,0.43
920,0.674868,0.7925,0.697699,0.8160,0.47
940,0.647038,0.8025,0.700394,0.8013,0.38
960,0.576369,0.8300,0.672707,0.8040,0.38
980,0.558181,0.8350,0.693078,0.7866,0.35
1000,0.696216,0.8225,0.679145,0.8123,0.44
