step,tr_loss,tr_acc,val_loss,val_acc,time
20,146.963150,0.1950,134.721634,0.2088,1.53
40,128.519730,0.2000,127.689270,0.1932,1.58
60,102.911171,0.2125,94.437492,0.2530,1.50
80,78.941551,0.2600,72.480026,0.3560,1.26
100,79.569977,0.3225,67.618896,0.3450,1.90
120,66.130753,0.3725,61.718494,0.3606,1.82
140,59.023907,0.4225,53.035671,0.4213,2.40
160,39.831921,0.4625,50.530296,0.4443,2.21
180,44.304062,0.4550,49.062763,0.4609,1.48
200,48.006645,0.4675,44.653286,0.4554,2.43
220,41.178493,0.4825,39.884312,0.5253,1.54
240,41.373402,0.5550,39.824566,0.4793,1.91
260,46.383118,0.4625,32.300499,0.5520,1.94
280,25.803839,0.5925,35.832317,0.5179,1.19
300,33.909706,0.5275,35.705265,0.5465,2.05
320,36.107414,0.5900,33.314114,0.5704,1.34
340,29.056332,0.5750,37.032825,0.5768,1.34
360,27.279972,0.5625,32.772686,0.5915,1.66
380,31.857113,0.5825,33.528412,0.5952,1.25
400,26.646524,0.6250,29.487503,0.6155,1.32
420,31.701456,0.6400,32.448341,0.5823,1.62
440,29.482586,0.6050,27.774696,0.6247,1.56
460,21.993624,0.6575,29.338696,0.6587,1.40
480,26.805700,0.6300,23.761166,0.6642,1.30
500,25.832809,0.6425,26.710344,0.6523,1.98
520,22.024660,0.6600,23.671209,0.6734,1.88
540,25.910355,0.6975,22.092876,0.6808,1.02
560,26.530075,0.6725,27.204695,0.6670,1.52
580,24.940231,0.6650,26.025137,0.6440,1.42
600,23.391964,0.6775,22.094889,0.6955,1.39
620,21.291658,0.6975,20.747740,0.7203,1.27
640,20.031664,0.7050,19.219858,0.7047,1.89
660,15.028685,0.7125,18.188509,0.7240,1.49
680,14.932246,0.7500,19.556690,0.7157,1.43
700,12.071509,0.7775,19.439190,0.7387,1.29
720,16.816378,0.7325,16.219559,0.7360,1.25
740,17.428432,0.7425,14.213478,0.7544,1.62
760,13.762472,0.7850,14.879746,0.7305,1.17
780,12.774183,0.7575,15.009692,0.7240,1.29
800,18.352947,0.7275,13.228045,0.7489,1.46
820,14.036532,0.7375,15.019845,0.7378,1.94
840,11.042532,0.7600,13.950749,0.7443,2.02
860,11.842821,0.7600,13.261847,0.7516,1.55
880,7.872863,0.8100,12.134980,0.7783,1.64
900,9.773826,0.8225,11.583132,0.7764,1.21
920,11.187940,0.7950,11.735807,0.7847,1.37
940,9.601121,0.8025,15.606050,0.7682,1.36
960,8.014321,0.8200,11.257732,0.7875,1.53
980,8.394411,0.8350,11.085273,0.7912,1.90
1000,8.668662,0.7900,10.403318,0.7884,1.47
