step,tr_loss,tr_acc,val_loss,val_acc,time
20,2.007921,0.2725,1.767382,0.4103,1.08
40,1.581409,0.4175,1.510114,0.4673,1.48
60,1.304985,0.6025,1.294561,0.5998,1.29
80,1.247863,0.6175,1.108810,0.7075,1.63
100,1.007442,0.7250,0.995864,0.6780,1.65
120,0.900425,0.7225,0.889543,0.7378,1.27
140,0.852538,0.7375,0.821289,0.7902,2.87
160,0.737003,0.8100,0.757280,0.7718,1.27
180,0.679200,0.8025,0.696385,0.8004,1.40
200,0.653936,0.8300,0.633903,0.8381,1.91
220,0.655075,0.8275,0.600853,0.8381,1.30
240,0.581870,0.8550,0.557647,0.8519,1.13
260,0.490883,0.8850,0.524938,0.8592,1.37
280,0.484757,0.8925,0.503384,0.8776,1.43
300,0.396153,0.9100,0.471736,0.8804,2.35
320,0.363382,0.9175,0.446073,0.8878,1.50
340,0.377263,0.9200,0.429169,0.8905,1.79
360,0.334578,0.9250,0.412341,0.9052,1.06
380,0.284327,0.9425,0.388377,0.9062,1.19
400,0.252104,0.9450,0.374607,0.9172,1.36
420,0.283261,0.9350,0.365577,0.9144,1.41
440,0.267683,0.9450,0.346513,0.9181,1.82
460,0.244867,0.9450,0.335829,0.9209,1.37
480,0.249937,0.9500,0.325115,0.9172,1.83
500,0.217837,0.9375,0.316998,0.9255,1.87
520,0.222181,0.9475,0.308936,0.9190,1.35
540,0.191348,0.9650,0.298850,0.9264,2.10
560,0.221171,0.9425,0.291637,0.9310,1.55
580,0.230936,0.9475,0.300202,0.9282,1.28
600,0.192041,0.9625,0.280005,0.9328,2.69
620,0.157702,0.9675,0.274393,0.9328,1.68
640,0.208005,0.9475,0.270839,0.9264,1.08
660,0.166299,0.9550,0.262016,0.9282,1.45
680,0.151150,0.9700,0.257092,0.9319,1.78
700,0.142944,0.9725,0.253754,0.9328,1.26
720,0.198419,0.9525,0.248376,0.9328,1.70
740,0.125036,0.9725,0.243866,0.9393,1.54
760,0.128547,0.9725,0.236863,0.9328,1.15
780,0.131759,0.9700,0.237595,0.9384,1.52
800,0.128293,0.9700,0.225831,0.9319,1.33
820,0.107220,0.9750,0.231080,0.9347,1.99
840,0.090301,0.9800,0.228956,0.9402,1.16
860,0.090636,0.9800,0.228927,0.9430,1.29
880,0.098718,0.9850,0.229369,0.9310,1.46
900,0.082032,0.9825,0.221269,0.9420,1.61
920,0.062475,0.9875,0.213959,0.9411,1.51
940,0.095834,0.9800,0.212473,0.9365,1.09
960,0.065792,0.9900,0.210867,0.9393,1.71
980,0.108465,0.9750,0.207877,0.9420,1.24
1000,0.119921,0.9725,0.219074,0.9393,2.68
