step,tr_loss,tr_acc,val_loss,val_acc,time
20,1.867464,0.2975,1.555139,0.4839,0.85
40,1.214847,0.6700,1.003292,0.6716,1.46
60,0.836759,0.7475,0.895110,0.7268,1.06
80,0.826818,0.7275,0.829847,0.7415,1.97
100,0.768823,0.7600,0.728741,0.7682,1.01
120,0.682307,0.7550,0.693277,0.7672,1.43
140,0.618206,0.7850,0.645979,0.7912,1.57
160,0.601372,0.8200,0.597822,0.8197,1.09
180,0.527752,0.8525,0.569446,0.8298,1.03
200,0.479822,0.8575,0.563759,0.8114,1.11
220,0.559931,0.8550,0.539695,0.8307,1.03
240,0.452864,0.8600,0.540112,0.8252,2.21
260,0.531236,0.8475,0.530545,0.8298,1.72
280,0.503121,0.8350,0.490900,0.8565,1.45
300,0.436047,0.8875,0.474823,0.8574,1.90
320,0.406013,0.8875,0.495689,0.8418,1.22
340,0.466689,0.8875,0.447196,0.8666,2.16
360,0.361104,0.8875,0.445513,0.8537,1.78
380,0.374968,0.8900,0.458880,0.8638,1.18
400,0.338257,0.9075,0.424106,0.8758,2.05
420,0.326560,0.9225,0.418246,0.8804,1.92
440,0.329021,0.9150,0.376604,0.8887,1.29
460,0.235391,0.9300,0.400976,0.8758,1.02
480,0.333730,0.9075,0.386254,0.8795,1.40
500,0.259412,0.9200,0.366175,0.8832,1.81
520,0.228490,0.9275,0.351236,0.8859,1.37
540,0.187985,0.9475,0.349027,0.8951,1.27
560,0.192817,0.9550,0.341720,0.8933,1.14
580,0.302323,0.9200,0.360112,0.8933,1.15
600,0.244492,0.9375,0.344412,0.8997,1.51
620,0.209017,0.9550,0.327490,0.9043,1.09
640,0.197379,0.9450,0.333260,0.9025,1.51
660,0.246441,0.9550,0.335233,0.9043,1.27
680,0.185728,0.9525,0.318479,0.9071,1.36
700,0.204652,0.9475,0.326400,0.8988,1.04
720,0.185769,0.9400,0.316484,0.9089,1.30
740,0.208422,0.9450,0.344538,0.9006,1.62
760,0.149897,0.9700,0.303754,0.9062,1.35
780,0.152035,0.9600,0.289762,0.9108,1.63
800,0.187650,0.9575,0.322642,0.9016,1.79
820,0.151290,0.9650,0.327183,0.9052,1.01
840,0.171313,0.9600,0.288997,0.9163,2.05
860,0.175112,0.9500,0.312153,0.9117,1.28
880,0.167791,0.9500,0.307869,0.9117,1.49
900,0.161432,0.9550,0.287669,0.9135,1.15
920,0.135438,0.9675,0.294979,0.9144,1.13
940,0.101957,0.9750,0.302333,0.9135,1.70
960,0.116041,0.9700,0.282706,0.9172,1.49
980,0.095156,0.9800,0.301443,0.9144,1.51
1000,0.158307,0.9600,0.291189,0.9181,1.18
