step,tr_loss,tr_acc,val_loss,val_acc,time
20,1.899647,0.3100,1.616715,0.5354,1.40
40,1.463662,0.5175,1.378329,0.5621,1.48
60,1.215335,0.6350,1.177139,0.6937,1.35
80,1.078614,0.6625,1.035921,0.7194,1.11
100,1.025031,0.7150,0.923099,0.7148,1.85
120,0.857308,0.7750,0.820661,0.7516,1.65
140,0.728559,0.7875,0.752090,0.7884,2.31
160,0.667570,0.8325,0.715220,0.8096,2.09
180,0.613133,0.8375,0.657230,0.8234,1.27
200,0.579747,0.8725,0.622469,0.8454,2.27
220,0.604214,0.8375,0.606357,0.8307,1.31
240,0.469381,0.9000,0.563676,0.8372,1.74
260,0.565889,0.8350,0.537434,0.8712,1.76
280,0.468062,0.8750,0.516536,0.8454,1.01
300,0.503283,0.8950,0.516582,0.8602,1.96
320,0.407613,0.8975,0.469379,0.8776,1.17
340,0.358744,0.9250,0.463541,0.8767,1.29
360,0.363880,0.9200,0.437456,0.8979,1.50
380,0.345317,0.9250,0.428575,0.8979,1.13
400,0.332244,0.9325,0.404008,0.9006,1.16
420,0.303911,0.9225,0.401880,0.8942,1.55
440,0.249505,0.9525,0.376561,0.8988,1.45
460,0.260815,0.9575,0.376356,0.9034,1.29
480,0.245457,0.9350,0.360742,0.9117,1.18
500,0.226848,0.9600,0.348819,0.9135,2.09
520,0.238111,0.9500,0.349279,0.9052,1.77
540,0.222925,0.9500,0.332075,0.9144,0.94
560,0.271109,0.9325,0.332267,0.9135,1.40
580,0.239187,0.9575,0.323628,0.9154,1.25
600,0.221251,0.9625,0.308266,0.9255,1.32
620,0.173033,0.9625,0.299147,0.9209,1.09
640,0.226273,0.9425,0.292644,0.9190,1.81
660,0.239319,0.9475,0.285202,0.9310,1.30
680,0.154546,0.9825,0.290332,0.9190,1.27
700,0.123151,0.9775,0.270513,0.9282,1.20
720,0.180262,0.9625,0.268032,0.9292,1.12
740,0.157768,0.9675,0.269832,0.9365,1.41
760,0.143768,0.9775,0.264500,0.9218,1.01
780,0.146704,0.9725,0.258088,0.9328,1.21
800,0.122970,0.9800,0.252774,0.9411,1.28
820,0.117282,0.9800,0.243775,0.9347,1.85
840,0.106447,0.9800,0.244532,0.9273,1.88
860,0.106033,0.9825,0.240745,0.9347,1.46
880,0.071783,0.9925,0.234088,0.9420,1.53
900,0.073158,0.9875,0.231704,0.9347,1.05
920,0.093367,0.9775,0.231313,0.9402,1.19
940,0.072088,0.9875,0.226096,0.9356,1.26
960,0.087468,0.9850,0.234180,0.9384,1.36
980,0.080509,0.9850,0.236610,0.9273,1.77
1000,0.069249,0.9875,0.220929,0.9448,1.47
