step,tr_loss,tr_acc,val_loss,val_acc,time
20,1.996744,0.3100,1.744812,0.5225,1.59
40,1.571091,0.5325,1.479129,0.5409,1.59
60,1.297135,0.6200,1.242793,0.6780,1.49
80,1.135889,0.6550,1.076223,0.6753,1.27
100,1.075716,0.6850,0.949315,0.7249,1.94
120,0.887993,0.7425,0.847576,0.7295,1.80
140,0.773010,0.7350,0.776398,0.7553,2.41
160,0.722541,0.7975,0.728112,0.8086,2.10
180,0.649093,0.8325,0.675028,0.8280,1.49
200,0.612168,0.8450,0.632404,0.8289,2.36
220,0.616446,0.8475,0.595861,0.8427,1.48
240,0.472141,0.8950,0.553398,0.8482,1.83
260,0.551292,0.8425,0.522419,0.8859,1.94
280,0.459027,0.9050,0.487308,0.8721,1.18
300,0.489771,0.9100,0.473540,0.8712,1.99
320,0.371614,0.9200,0.429474,0.8979,1.29
340,0.340397,0.9225,0.410389,0.9006,1.38
360,0.344732,0.9350,0.382231,0.9126,1.68
380,0.298389,0.9350,0.373583,0.9098,1.32
400,0.292900,0.9400,0.351630,0.9163,1.28
420,0.273914,0.9325,0.343806,0.9181,1.54
440,0.202270,0.9600,0.325974,0.9209,1.58
460,0.220386,0.9625,0.317192,0.9292,1.44
480,0.189314,0.9625,0.303938,0.9264,1.28
500,0.190196,0.9625,0.296027,0.9218,1.92
520,0.208363,0.9525,0.294741,0.9255,1.89
540,0.181606,0.9625,0.278829,0.9292,1.01
560,0.246835,0.9325,0.276220,0.9347,1.49
580,0.207526,0.9575,0.279600,0.9264,1.46
600,0.191912,0.9625,0.254841,0.9384,1.35
620,0.139797,0.9675,0.250192,0.9319,1.28
640,0.191742,0.9600,0.246486,0.9374,1.84
660,0.201129,0.9450,0.237891,0.9384,1.44
680,0.125999,0.9725,0.243639,0.9310,1.45
700,0.099505,0.9800,0.229885,0.9430,1.28
720,0.154307,0.9650,0.226695,0.9439,1.30
740,0.131084,0.9625,0.225292,0.9420,1.56
760,0.120707,0.9775,0.223530,0.9365,1.18
780,0.119376,0.9775,0.214577,0.9457,1.29
800,0.094958,0.9850,0.212866,0.9448,1.47
820,0.088802,0.9875,0.203376,0.9485,2.00
840,0.091775,0.9800,0.204700,0.9439,2.12
860,0.092737,0.9800,0.207866,0.9448,1.55
880,0.056289,0.9900,0.196792,0.9494,1.70
900,0.055691,0.9925,0.198055,0.9466,1.20
920,0.088555,0.9825,0.194153,0.9466,1.38
940,0.059237,0.9900,0.194136,0.9466,1.35
960,0.068912,0.9850,0.193305,0.9485,1.52
980,0.065263,0.9875,0.206378,0.9420,1.93
1000,0.056474,0.9850,0.191206,0.9512,1.49
